id,portfolio,agency,acronym,program,component,outcome,outcome_text,last,current,plus1,plus2,plus3,souce,url
,Treasury Portfolio,Australian Bureau of Statistics ,ABS,Programme 1.1: Australian Bureau of Statistics,ABS - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,"Outcome 1: Informed decisions, research and discussion within governments and the community by leading the collection, analysis and provision of high quality, objective and relevant statistical information",390642,382351,432677,550907,371547,Australian Bureau of Statistics (ABS)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/d7b3bcf4-a137-4bf7-8651-f8bfee76b4c8
,Treasury Portfolio,Australian Competition and Consumer Commission ,ACCC,Programme 1.1: Australian Competition and Consumer,"ACCC - Departmental expenses: Departmental appropriation , Revenues from independent sources (s31) , & Expenses not requiring appropriation  in budget year",1,"Outcome 1: Lawful competition, consumer protection, and regulated national infrastructure markets and services through regulation, including enforcement, education, price monitoring and determining the terms of access to infrastructure services",147796,139432,136786,136469,135360,Australian Competition and Consumer Commission (ACCC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/44e07a01-9d77-45e3-9f5d-2a30ff4c9a50
,Treasury Portfolio,Australian Competition and Consumer Commission ,ACCC,Programme 1.2: Australian Energy Regulator,ACCC - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,"Outcome 1: Lawful competition, consumer protection, and regulated national infrastructure markets and services through regulation, including enforcement, education, price monitoring and determining the terms of access to infrastructure services",37200,35068,34516,34010,34344,Australian Competition and Consumer Commission (ACCC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/44e07a01-9d77-45e3-9f5d-2a30ff4c9a50
,Treasury Portfolio,Australian Office of Financial Management ,AOFM,Programme 1.1: Australian Office of Financial Management,AOFM - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,"Outcome 1: The advancement of macroeconomic growth and stability, and the effective operation of financial markets, through issuing debt, investing in financial assets and managing debt, investments and cash for the Australian Government",11610,13033,12902,12848,12970,Australian Office of Financial Management (AOFM)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/be9350a7-9d79-4eee-a706-ff250ec229bc
,Treasury Portfolio,Australian Office of Financial Management ,AOFM,Programme 1.1: Australian Office of Financial Management,AOFM - Administered expenses: Ordinary annual services (Appropriation Bill No. 1)  & Expenses not requiring appropriation  in budget year,1,"Outcome 1: The advancement of macroeconomic growth and stability, and the effective operation of financial markets, through issuing debt, investing in financial assets and managing debt, investments and cash for the Australian Government",188581,10,10,10,10,Australian Office of Financial Management (AOFM)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/be9350a7-9d79-4eee-a706-ff250ec229bc
,Treasury Portfolio,Australian Office of Financial Management ,AOFM,Programme 1.1: Australian Office of Financial Management,AOFM - Administered expenses: Special appropriation Commonwealth Inscribed Stock Act  1911,1,"Outcome 1: The advancement of macroeconomic growth and stability, and the effective operation of financial markets, through issuing debt, investing in financial assets and managing debt, investments and cash for the Australian Government",13452771,14707384,16133697,17155943,17875948,Australian Office of Financial Management (AOFM)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/be9350a7-9d79-4eee-a706-ff250ec229bc
,Treasury Portfolio,Australian Office of Financial Management ,AOFM,Programme 1.1: Australian Office of Financial Management,AOFM - Administered expenses: Special appropriation Financial Agreement Act  1994,1,"Outcome 1: The advancement of macroeconomic growth and stability, and the effective operation of financial markets, through issuing debt, investing in financial assets and managing debt, investments and cash for the Australian Government",20,20,20,20,20,Australian Office of Financial Management (AOFM)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/be9350a7-9d79-4eee-a706-ff250ec229bc
,Treasury Portfolio,Australian Office of Financial Management ,AOFM,Programme 1.1: Australian Office of Financial Management,AOFM - Administered expenses: Special appropriation Loans Securities Act  1919,1,"Outcome 1: The advancement of macroeconomic growth and stability, and the effective operation of financial markets, through issuing debt, investing in financial assets and managing debt, investments and cash for the Australian Government",864,722,724,588,0,Australian Office of Financial Management (AOFM)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/be9350a7-9d79-4eee-a706-ff250ec229bc
,Treasury Portfolio,Australian Prudential Regulation Authority ,APRA,Programme 1.1: Australian Prudential Regulation Authority ,"APRA - Departmental expenses:  Special account , Ordinary Annual Services (Appropriation Bill No. 1) , Revenues from Independent Sources (section 31) , & Other Services (Appropriation Bill No. 2) ",1,"Outcome 1: Enhanced public confidence in Australias financial institutions through a framework of prudential regulation which balances financial safety and efficiency, competition, contestability and competitive neutrality",119644,122444,125252,124563,128637,Australian Prudential Regulation Authority (APRA)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/28bfea5b-8ba1-4928-b294-04359020ce9b
,Treasury Portfolio,Australian Securities and Investments Commission ,ASIC,Programme 1.1: Australian Securities and Investments Commission,ASIC - Departmental expenses: Departmental appropriation ,1,Outcome 1: Improved confidence in Australia,366279,321252,306041,303403,306287,Australian Securities and Investments Commission (ASIC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/8baae78c-5368-41d3-92a9-f9a7a76b32d9
